,VCCS Course,VCCS Description,VT Course Code,VT Course Title,VT Description
225,MUS 218 TRADITIONAL MUSIC AND MUSICIANS OF CENTRAL APPALACHIA,"Introduces students to the traditional music and musicians, historical and contemporary, of the central Appalachian region.  Explore influences of the music of various cultures, both within and outside the region, on the musical styles.",MUS 2124,TRADITIONS IN APPALACHIA,"Survey and study of music traditions in Appalachia.  Investigation of the formal elements of this music, including instruments and musical terms and forms.  Exploration of style as a reflection of many cultural influences.  Study of the impact and development of these traditions in contemporary musical practices."
226,MUS 221 HISTORY OF WESTERN MUSIC PRIOR TO 1750,Presents the chronology of musical styles and significant composers from Antiquity through the Pre-Classical era. Relates the development of music from a socio-historical perspective including parallel movements within the arts. Develops techniques for listening analytically and critically to music. MUS 221 and 222 may transfer as the same course. This is a Passport and UCGS transfer course.,MUS 2115,SURVEY OF WESTERN MUSIC,"Survey and study of the historical evolution of Western art music. MUS 2115 : classical music from Antiquity into the Classical era. MUS 2116 : classical and other music from the Romantic era through the 20th century to music of today. Investigation of the materials of music. Exploration of music as it both reflects and impacts history, including historical considerations of gender, race, culture, and other extramusical factors. Relevance of historical and contemporary music to our society today."
227,MUS 222 HISTORY OF WESTERN MUSIC 1750 TO PRESENT,Presents the chronology of musical styles and significant composers from the Classical Period through the Modern era. Relates the development of music from a socio-historical perspective including parallel movements within the arts. Develops techniques for listening analytically and critically to music. MUS 221 and 222 may transfer as the same course. This is a Passport and UCGS transfer course.,MUS 2116,SURVEY OF WESTERN MUSIC,"Survey and study of the historical evolution of Western art music. MUS 2115 : classical music from Antiquity into the Classical era. MUS 2116 : classical and other music from the Romantic era through the 20th century to music of today. Investigation of the materials of music. Exploration of music as it both reflects and impacts history, including historical considerations of gender, race, culture, and other extramusical factors. Relevance of historical and contemporary music to our society today."
228,MUS 225 THE HISTORY OF JAZZ,"Studies the underlying elements of jazz, concentrating on the socio-cultural and historical development from earliest stages to the present. Explores key figures and significant works instrumental in the development and evolution of jazz.",MUS 3814,JAZZ HISTORY,"A survey and analysis of jazz music, including traditional jazz, big band, bebop, rhythm and blues, free jazz/avant garde, fusion, and hip-hop. Exploration of historical, social, and cultural forces and trends that influence the creation and interpretation of jazz music."
229,MUS 227 EDITING AND MIXDOWN TECHNIQUES,"Introduces the theory and practice of digital editing and mixdown techniques.  Provides the skills necessary to edit, mixdown, externally reprocess, and otherwise manipulate multi-track original recordings into finished master recordings.",MUS 2055,AUDIO TECHNOLOGY FOR MUSIC,"Develops basic understanding of audio technology for musical applications, focusing on todays digital audio recording and editing technologies including microphone use, live recording, and studio session recording.  Develops critical listening skills through lab experimentation and recording.  Pre: Permission of instructor required."
230,MUS 235 ADVANCED RECORDING TECHNIQUES,"Introduces advanced digital recording techniques that lead to mix downs and digital masters for commercial CD duplication, other digital media and on-line distribution.  Provides knowledge and skills in refined areas of digital multi track recording and mixdown techniques.  Includes a study of the process which converts finished digital masters to compact discs and digital files suitable for retail release.  Studies trouble shooting skills pertaining to digital audio workstations.",MUS 2056,AUDIO TECHNOLOGY FOR MUSIC,"Develops basic understanding of audio technology for musical applications, focusing on todays digital audio recording and editing technologies including microphone use, live recording, and studio session recording.  Develops critical listening skills through lab experimentation and recording. Pre: 2054 and permission of instructor required."
231,MUS 236 ADVANCED APPLIED MUSIC - VOICE,"Continues MUS 126 . Private lessons are available for either 1 or 2 hours of credit per semester. The length of the lessons will be 1/2 hour for 1 hour credit and 1 hour for 2 hours credit per semester. All courses in applied music may be repeated for a total of 8 hours for the major and 4 hours for the minor. Laboratory 1-2 hours per week. & MUS 237 CHORUS (1 CR.) Continues MUS 137 . Courses in ensemble consist of performance from the standard repertoires, including study of ensemble techniques and interpretation. May be repeated for credit.",MUS 2514,INDIVIDUAL APPLIED VOICE,Individual instruction in voice. May be repeated. Consent and audition required.
232,MUS 245 ADVANCED APPLIED MUSIC - KEYBOARD,Continues Applied Music - Keyboard MUS 145 . Private lessons are available for either 1 or 2 hours of credit per semester. The length of the lessons will be 1/2 hour for 1 hour credit and 1 hour for 2 hours credit per semester. All courses in applied music may be repeated for a total of 8 hours for the major and 4 hours for the minor.,MUS 2524,INDIVIDUAL APPLIED KEYBOARD,Individual instruction in keyboard.  May be repeated. Consent and audition required.
233,MUS 285 ADVANCED APPLIED MUSIC - PERCUSSION,"Continues Applied Music - Percussion MUS 185 . Private lessons are available for either 1 or 2 hours of credit per semester. The length of the lessons will be 1/2 hour for 1 hour credit and 1 hour for 2 hours credit per semester. All courses in applied music may be repeated for a total of 8 hours for the major and 4 hours for the minor. Laboratory 1-2 hours per week. & MUS 286 PERCUSSION ENSEMBLE (1 CR.) Continues Percussion Ensemble MUS 186 . Courses in ensemble consist of performance from the standard repertoires, including study of ensemble techniques and interpretation. May be repeated for credit.",MUS 2684,INDIVIDUAL APPLIED PERCUSSION,Individual instruction in percussion.  May be repeated. Consent and audition required.
234,NAS 130 ELEMENTS OF ASTRONOMY,"Covers history of astronomy and its recent developments. Stresses the use of astronomical instruments and measuring techniques and includes the study and observation of the solar system, stars, and galaxies.",PHYS 1056 + PHYS 1156,INTRODUCTION TO ASTRONOMY + LAB,"Survey course of astronomy topics ranging from the solar system to the universe, with Application of evidence-based reasoning, critical thinking, and use of theoretical models and observations. 1055 has a focus on the solar system: apparent sky motions, telescopes, matter and radiation, properties of the planets, structure and evolution of the solar system, cultural and intercultural aspects that influenced the understanding of the solar system, climate change as a Global challenge. 1056 has a focus on the universe: stars, star formation, stellar evolution, organization of the Milky Way Galaxy, galaxies, quasars, structure and evolution of the universe, cosmological models, cultural and intercultural aspects of the development of astronomical thought, life in the universe. | Simulation of apparent sky motions; observations of planets, stars, and nebulae with quantitative analysis; long term observations of sky changes; analysis of images; laboratory experiments of astrophysical relevance."
235,NAS 131 ASTRONOMY: SOLAR SYSTEM,"Introduces astronomy of the solar system, including the Sun, planets, their satellites, and other solar system objects. Includes discussions of the development of astronomy through the ages, recent discoveries, and experience with the types of mathematical exercises and observational skills essential for an understanding of the fundamental principles of solar system astronomy. Assignments require fluency in arithmetic, unit conversion, basic algebra, geometry, and trigonometry.  This course is cross-listed with PHY 141 . Credit will not be awarded for both.",PHYS 1055 + PHYS 1155,INTRODUCTION TO ASTRONOMY + LAB,"Survey course of astronomy topics ranging from the solar system to the universe, with Application of evidence-based reasoning, critical thinking, and use of theoretical models and observations. 1055 has a focus on the solar system: apparent sky motions, telescopes, matter and radiation, properties of the planets, structure and evolution of the solar system, cultural and intercultural aspects that influenced the understanding of the solar system, climate change as a Global challenge. 1056 has a focus on the universe: stars, star formation, stellar evolution, organization of the Milky Way Galaxy, galaxies, quasars, structure and evolution of the universe, cosmological models, cultural and intercultural aspects of the development of astronomical thought, life in the universe. | Simulation of apparent sky motions; observations of planets, stars, and nebulae with quantitative analysis; long term observations of sky changes; analysis of images; laboratory experiments of astrophysical relevance."
236,NAS 132 ASTRONOMY: STARS AND GALAXIES,"Introduces astronomy of the stars, including the Sun, celestial objects, stellar formation and death and cosmology, and the study of the universe as a whole. Includes discussions of the development of astronomy through the ages, recent discoveries and experience with the types of mathematical principles employed and the astronomical observational skills essential for an understanding of the fundamental principles of astronomy and cosmology. Assignments require fluency in arithmetic, unit conversion, basic algebra, geometry, and trigonometry.  This course is cross-listed with PHY 142 . Credit will not be awarded for both.",PHYS 1056 + PHYS 1156,INTRODUCTION TO ASTRONOMY + LAB,"Survey course of astronomy topics ranging from the solar system to the universe, with Application of evidence-based reasoning, critical thinking, and use of theoretical models and observations. 1055 has a focus on the solar system: apparent sky motions, telescopes, matter and radiation, properties of the planets, structure and evolution of the solar system, cultural and intercultural aspects that influenced the understanding of the solar system, climate change as a Global challenge. 1056 has a focus on the universe: stars, star formation, stellar evolution, organization of the Milky Way Galaxy, galaxies, quasars, structure and evolution of the universe, cosmological models, cultural and intercultural aspects of the development of astronomical thought, life in the universe. | Simulation of apparent sky motions; observations of planets, stars, and nebulae with quantitative analysis; long term observations of sky changes; analysis of images; laboratory experiments of astrophysical relevance."
237,PED 101 FUNDAMENTALS OF PHYSICAL ACTIVITY I,"Presents principles underlying the components of physical fitness. Utilizes conditioning activities involving cardiovascular strength and endurance, respiratory efficiency, muscular strength, and flexibility. May include fitness assessment, nutrition and weight control information, and concepts of wellness.  Part I of II.",HNFE 1214,TOPICS IN LIFETIME ACTIVITIES,"Participation in physical activity, fitness assessment, motor skill development.  Awareness and development of the physical, spiritual, emotional, social, and intellectual components of wellness.  Application of healthy lifestyle choices for improved quality of life.  May be repeated with varying content, for a maximum of 6 credits.  Pass/Fail Only"
238,PED 111 WEIGHT TRAINING I,Focuses on muscular strength and endurance training through individualized workout programs. Teaches appropriate use of weight training equipment.  Part I of II.,HNFE 1214,TOPICS IN LIFETIME ACTIVITIES,"Participation in physical activity, fitness assessment, motor skill development.  Awareness and development of the physical, spiritual, emotional, social, and intellectual components of wellness.  Application of healthy lifestyle choices for improved quality of life.  May be repeated with varying content, for a maximum of 6 credits.  Pass/Fail Only"
239,PED 112 WEIGHT TRAINING II,Focuses on muscular strength and endurance training through individualized workout programs. Teaches appropriate use of weight training equipment.  Part II of II.,HNFE 1214,TOPICS IN LIFETIME ACTIVITIES,"Participation in physical activity, fitness assessment, motor skill development.  Awareness and development of the physical, spiritual, emotional, social, and intellectual components of wellness.  Application of healthy lifestyle choices for improved quality of life.  May be repeated with varying content, for a maximum of 6 credits.  Pass/Fail Only"
240,PED 116 LIFETIME FITNESS AND WELLNESS,"Provides a study of fitness and wellness and their relationship to a healthy lifestyle. Defines fitness and wellness, evaluates the student's level of fitness and wellness, and motivates the student to incorporate physical fitness and wellness into daily living. A personal fitness/wellness plan is required for the 2-credit course.",HNFE 1214,TOPICS IN LIFETIME ACTIVITIES,"Participation in physical activity, fitness assessment, motor skill development.  Awareness and development of the physical, spiritual, emotional, social, and intellectual components of wellness.  Application of healthy lifestyle choices for improved quality of life.  May be repeated with varying content, for a maximum of 6 credits.  Pass/Fail Only"
241,PED 129 SELF-DEFENSE,"Examines history, techniques, and movements associated with self-defense. Introduces the skills and methods of self- defense emphasizing mental and physical discipline.",HNFE 1214,TOPICS IN LIFETIME ACTIVITIES,"Participation in physical activity, fitness assessment, motor skill development.  Awareness and development of the physical, spiritual, emotional, social, and intellectual components of wellness.  Application of healthy lifestyle choices for improved quality of life.  May be repeated with varying content, for a maximum of 6 credits.  Pass/Fail Only"
242,PED 133 GOLF I,"Teaches basic skills of golf, rules, etiquette, scoring, terminology, equipment selection and use, and strategy.  Part I of II.",HNFE 1214,TOPICS IN LIFETIME ACTIVITIES,"Participation in physical activity, fitness assessment, motor skill development.  Awareness and development of the physical, spiritual, emotional, social, and intellectual components of wellness.  Application of healthy lifestyle choices for improved quality of life.  May be repeated with varying content, for a maximum of 6 credits.  Pass/Fail Only"
243,PED 148 SNOWBOARDING,"Teaches the basic skills of snowboarding, selection and use of equipment, terminology, and safety rules.",HNFE 1214,TOPICS IN LIFETIME ACTIVITIES,"Participation in physical activity, fitness assessment, motor skill development.  Awareness and development of the physical, spiritual, emotional, social, and intellectual components of wellness.  Application of healthy lifestyle choices for improved quality of life.  May be repeated with varying content, for a maximum of 6 credits.  Pass/Fail Only"
244,PED 150 SOCCER,"Emphasizes soccer skills and techniques, strategies, rules, equipment, and physical conditioning.",HNFE 1214,TOPICS IN LIFETIME ACTIVITIES,"Participation in physical activity, fitness assessment, motor skill development.  Awareness and development of the physical, spiritual, emotional, social, and intellectual components of wellness.  Application of healthy lifestyle choices for improved quality of life.  May be repeated with varying content, for a maximum of 6 credits.  Pass/Fail Only"
245,PED 154 VOLLEYBALL,"Introduces skills, techniques, strategies, rules, and scoring.",HNFE 1214,TOPICS IN LIFETIME ACTIVITIES,"Participation in physical activity, fitness assessment, motor skill development.  Awareness and development of the physical, spiritual, emotional, social, and intellectual components of wellness.  Application of healthy lifestyle choices for improved quality of life.  May be repeated with varying content, for a maximum of 6 credits.  Pass/Fail Only"
246,PED 157 SOCCER II,"Emphasizes advanced soccer skills and techniques, strategies, rules, equipment, and physical conditioning.",HNFE 1214,TOPICS IN LIFETIME ACTIVITIES,"Participation in physical activity, fitness assessment, motor skill development.  Awareness and development of the physical, spiritual, emotional, social, and intellectual components of wellness.  Application of healthy lifestyle choices for improved quality of life.  May be repeated with varying content, for a maximum of 6 credits.  Pass/Fail Only"
247,PED 193 STUDIES IN,Covers new content not covered in existing courses in the discipline. Allows instructor to explore content and instructional methods to assess the course's viability as a permanent offering.,HNFE 1214,TOPICS IN LIFETIME ACTIVITIES,"Participation in physical activity, fitness assessment, motor skill development.  Awareness and development of the physical, spiritual, emotional, social, and intellectual components of wellness.  Application of healthy lifestyle choices for improved quality of life.  May be repeated with varying content, for a maximum of 6 credits.  Pass/Fail Only"
248,PED 199 SUPERVISED STUDY,Assigns problems for independent study incorporating previous instruction and supervised by the instructor.,HNFE 1214,TOPICS IN LIFETIME ACTIVITIES,"Participation in physical activity, fitness assessment, motor skill development.  Awareness and development of the physical, spiritual, emotional, social, and intellectual components of wellness.  Application of healthy lifestyle choices for improved quality of life.  May be repeated with varying content, for a maximum of 6 credits.  Pass/Fail Only"
249,PED 206 SPORTS APPRECIATION,"Focuses on the history, trends, rules, methods, strategy, and terminology of selected sports activities. Provides student awareness as a spectator and/or participant.",HNFE 1214,TOPICS IN LIFETIME ACTIVITIES,"Participation in physical activity, fitness assessment, motor skill development.  Awareness and development of the physical, spiritual, emotional, social, and intellectual components of wellness.  Application of healthy lifestyle choices for improved quality of life.  May be repeated with varying content, for a maximum of 6 credits.  Pass/Fail Only"
250,PED 254 ADVANCED VOLLEYBALL,"Emphasizes advanced volleyball skills, techniques, strategies, rules, and scoring.",HNFE 1214,TOPICS IN LIFETIME ACTIVITIES,"Participation in physical activity, fitness assessment, motor skill development.  Awareness and development of the physical, spiritual, emotional, social, and intellectual components of wellness.  Application of healthy lifestyle choices for improved quality of life.  May be repeated with varying content, for a maximum of 6 credits.  Pass/Fail Only"
251,PHI 100 INTRODUCTION TO PHILOSOPHY,"Presents an introduction to philosophical problems and perspectives with emphasis on the systematic questioning of basic assumptions about meaning, knowledge, reality, and values. The assignments in the course require college-level reading fluency and coherent communication through written reports. This is a Passport and UCGS transfer course.",PHIL 1204,KNOWLEDGE AND REALITY,"Examines historical and contemporary approaches to such issues as: the nature of reality and the self, the relationship between mind and body, the existence of God, the nature of knowledge and illusion. Application to ethical questions about the fear of death, and the meaning of life."
252,PHI 111 LOGIC,"Introduces inductive and deductive reasoning, with an emphasis on common errors and fallacies. The assignments in the course require college-level reading fluency and coherent communication through written reports. This is a Passport and UCGS transfer course.",PHIL 1504,CRITICAL THINKING,"Introduction to critical thinking, the examination of the reasons (grounds, evidence) for claims on any subject matter. Mastery of central concepts of critical thinking: argument, claim, validity and invalidity, strength and weakness, deduction and induction, fallacy, objection and response. Techniques for critical reconstruction and evaluation of arguments, including ethical ones. Formal logic techniques for evaluation of truth-functional and categorical arguments, akin to mechanical computation or derivation. Application of techniques to arguments appearing in ordinary language passages."
253,PHI 200 THE HISTORY OF WESTERN PHILOSOPHY,"Offers a historical survey of major philosophers from the ancient Greeks to the modern era. The assignments in this course require the ability to write at the college level, read college-level philosophical texts, and understand and apply philosophical concepts with complex meanings.",PHIL 2115,ANCIENT THROUGH MEDIEVAL PHILOSOPHY,"A critical survey and analysis of the history of Western philosophical thought from its beginnings through the Medieval Period. Addresses and assesses historical theories about issues involving the nature of justice, virtue, ethics, knowledge, and reality. Key concepts analyzed include that of the soul, human flourishing, form and matter, the human function and God. 2115: Presocratics, Socrates, Plato, Aristotle, and the Stoics; 2116: late Greek and Roman philosophy, St. Augustine, St. Thomas Aquinas, and William of Ockham."
254,PHI 220 ETHICS AND SOCIETY,Provides a systematic study of representative ethical concepts and theories and discusses their application to concrete moral dilemmas and social issues and problems. This is a Passport and UCGS transfer course.,PHIL 1304,MORALITY AND JUSTICE,"A critical survey of theories concerning human nature, the meaningful life, and the moral evaluation of actions, persons, and institutions. Theories will be applied to such issues as abortion, justice, and moral problems faced by professionals."
255,PHT 100 INTRODUCTION TO PHOTOGRAPHY,Introduces principles of photography with outside shooting assignments related to lecture topics.,ART 2664,INTRODUCTION TO PHOTOGRAPHY,"Introduction to the tools, techniques, and concepts of digital photography. Development of visual style, two-dimensional composition, and visual communication through iterative assignments. Application of formal analysis and intercultural interpretation of photographs through class critique as well as historical and contemporary examples. Examination of diverse viewpoints through readings and discussions on the role of photography in identity, culture, and politics. Course contact hour structure: Lecture (1H,1C), Lab (3L, 1C), Design Lab/Studio (2L, 1C). (1H, 5L, 3C). RESOURCE CHARGE."
256,PHT 101 PHOTOGRAPHY I,Teaches principles of photography and fundamental camera techniques. Requires outside shooting and lab work.  Part I of II.,ART 2664,INTRODUCTION TO PHOTOGRAPHY,"Introduction to the tools, techniques, and concepts of digital photography. Development of visual style, two-dimensional composition, and visual communication through iterative assignments. Application of formal analysis and intercultural interpretation of photographs through class critique as well as historical and contemporary examples. Examination of diverse viewpoints through readings and discussions on the role of photography in identity, culture, and politics. Course contact hour structure: Lecture (1H,1C), Lab (3L, 1C), Design Lab/Studio (2L, 1C). (1H, 5L, 3C). RESOURCE CHARGE."
257,PHT 151 FILM PRODUCTION II,"Reinforces techniques covered in Film Production I emphasizing technical aspects of the filmmaking process. Requires student collaboration on film assignments from scripting and preproduction through editing and postproduction, and roles in grip, lighting, production management, directing, sound, and editing. Part II of II.",CINE 2064,INTRODUCTION TO CINEMA PRODUCTION,"Introductory filmmaking course. Thematic conception and story construction, writing, producing, directing, cinematography, sound recording, and editing."
258,PHT 164 INTRODUCTION TO DIGITAL PHOTOGRAPHY,"Introduces fundamental techniques of photography, including digital camera operation, postproduction, and printing. Includes technical and conceptual exercises, individual project development, and group critiques.",ART 2664,INTRODUCTION TO PHOTOGRAPHY,"Introduction to the tools, techniques, and concepts of digital photography. Development of visual style, two-dimensional composition, and visual communication through iterative assignments. Application of formal analysis and intercultural interpretation of photographs through class critique as well as historical and contemporary examples. Examination of diverse viewpoints through readings and discussions on the role of photography in identity, culture, and politics. Course contact hour structure: Lecture (1H,1C), Lab (3L, 1C), Design Lab/Studio (2L, 1C). (1H, 5L, 3C). RESOURCE CHARGE."
259,PHY 131 APPLIED PHYSICS I,"Emphasizes application of topics such as precision measurement, statics, dynamics, energy, momentum, properties of matter, heat, sound, optics, and electricity and magnetism. Prerequisites high school algebra, geometry and trigonometry, or equivalent or divisional approval. Part I of II. This course applies to career/technical education (CTE) programs. PHY 100 serves both transfer and CTE programs.",PHYS 2205,GEN PHYSICS,"General physics course sequence for students in curricula other than physical sciences, mathematics, or engineering, who have not studied calculus. Applications of reasoning in the natural sciences using physical laws in a real-world context and in the students own discipline. Overview of intercultural and universal aspects of physics, and of human benefits of physics to address global challenges. 2205: mechanics, wave phenomena, fluids. 2206: optics, thermodynamics, electromagnetism, relativity, topics in nuclear and modern physics."
260,PHY 141 ASTRONOMY: SOLAR SYSTEM,"Introduces astronomy of the solar system, including the Sun, planets, their satellites, and other solar system objects. Includes discussions of the development of astronomy through the ages, recent discoveries, and experience with the types of mathematical exercises and observational skills essential for an understanding of the fundamental principles of solar system astronomy. Assignments require fluency in arithmetic, unit conversion, basic algebra, geometry, and trigonometry.  This course is cross-listed with NAS 131 . Credit will not be awarded for both.",PHYS 1055 + PHYS 1155,INTRO ASTRONOMY + LAB,"Survey course of astronomy topics ranging from the solar system to the universe, with Application of evidence-based reasoning, critical thinking, and use of theoretical models and observations. 1055 has a focus on the solar system: apparent sky motions, telescopes, matter and radiation, properties of the planets, structure and evolution of the solar system, cultural and intercultural aspects that influenced the understanding of the solar system, climate change as a Global challenge. 1056 has a focus on the universe: stars, star formation, stellar evolution, organization of the Milky Way Galaxy, galaxies, quasars, structure and evolution of the universe, cosmological models, cultural and intercultural aspects of the development of astronomical thought, life in the universe. | Simulation of apparent sky motions; observations of planets, stars, and nebulae with quantitative analysis; long term observations of sky changes; analysis of images; laboratory experiments of astrophysical relevance."
261,PHY 142 ASTRONOMY: STARS AND GALAXIES,"Introduces astronomy of the stars, including the Sun, celestial objects, stellar formation and death and cosmology, and the study of the universe as a whole. Includes discussions of the development of astronomy through the ages, recent discoveries and experience with the types of mathematical principles employed and the astronomical observational skills essential for an understanding of the fundamental principles of astronomy and cosmology. Assignments require fluency in arithmetic, unit conversion, basic algebra, geometry, and trigonometry.  This course is cross-listed with NAS 132 . Credit will not be awarded for both.",PHYS 1056 + PHYS 1156,INTRO ASTRONOMY + LAB,"Survey course of astronomy topics ranging from the solar system to the universe, with Application of evidence-based reasoning, critical thinking, and use of theoretical models and observations. 1055 has a focus on the solar system: apparent sky motions, telescopes, matter and radiation, properties of the planets, structure and evolution of the solar system, cultural and intercultural aspects that influenced the understanding of the solar system, climate change as a Global challenge. 1056 has a focus on the universe: stars, star formation, stellar evolution, organization of the Milky Way Galaxy, galaxies, quasars, structure and evolution of the universe, cosmological models, cultural and intercultural aspects of the development of astronomical thought, life in the universe. | Simulation of apparent sky motions; observations of planets, stars, and nebulae with quantitative analysis; long term observations of sky changes; analysis of images; laboratory experiments of astrophysical relevance."
262,PHY 150 ELEMENTS OF ASTRONOMY,"Covers history of astronomy and its recent developments. Stresses the use of astronomical instruments and measuring techniques and includes the study and observation of the solar system, stars, and galaxies.",PHYS 1055 + PHYS 1155,INTRO TO ASTRONOMY + LAB,"Survey course of astronomy topics ranging from the solar system to the universe, with Application of evidence-based reasoning, critical thinking, and use of theoretical models and observations. 1055 has a focus on the solar system: apparent sky motions, telescopes, matter and radiation, properties of the planets, structure and evolution of the solar system, cultural and intercultural aspects that influenced the understanding of the solar system, climate change as a Global challenge. 1056 has a focus on the universe: stars, star formation, stellar evolution, organization of the Milky Way Galaxy, galaxies, quasars, structure and evolution of the universe, cosmological models, cultural and intercultural aspects of the development of astronomical thought, life in the universe. | Simulation of apparent sky motions; observations of planets, stars, and nebulae with quantitative analysis; long term observations of sky changes; analysis of images; laboratory experiments of astrophysical relevance."
263,PHY 201 GENERAL COLLEGE PHYSICS I,"Covers classical mechanics and thermodynamics. Includes kinematics, Newton's laws of motion, work, energy, momentum, rotational kinematics, dynamic and static equilibrium, elasticity, gravitation, fluids, simple harmonic motion, calorimetry, ideal gas law, and the laws of thermodynamics. Part I of II. This is a UCGS transfer course.",PHYS 2205 + PHYS 2215,GEN PHYSICS + LAB,"General physics course sequence for students in curricula other than physical sciences, mathematics, or engineering, who have not studied calculus. Applications of reasoning in the natural sciences using physical laws in a real-world context and in the students own discipline. Overview of intercultural and universal aspects of physics, and of human benefits of physics to address global challenges. 2205: mechanics, wave phenomena, fluids. 2206: optics, thermodynamics, electromagnetism, relativity, topics in nuclear and modern physics. | Laboratory experiments dealing with basic laws and techniques of physics; designed to illustrate topics covered in PHYS 2205 -2206. Applications of reasoning in the natural sciences using physics experiments in a real-world and interdisciplinary context. Ethical responsibilities and issues in a laboratory setting. 2215: analysis of experimental errors, formatting for presenting graphical data, analyzing and describing and prioritizing experimental design features, communicating concepts orally and in writing, concepts of force, momentum, conservation of energy, wave and interference phenomena. 2216: analysis of experimental errors, communicating concepts orally and in writing, concepts of geometrical optics, optical instruments, heat and phase transitions, electricity and electrical energy storage, magnetic fields and magnetic induction, atomic spectra."
264,PHY 202 GENERAL COLLEGE PHYSICS II,"Covers waves, electromagnetism, optics, and modern physics. Includes mechanical waves, sound, electrostatics, Ohm's law and DC circuits, magnetic forces and magnetic fields, electromagnetic induction, ray optics, wave optics, and selected topics of modern physics. Part II of II. This is a UCGS transfer course.",PHYS 2206 + PHYS 2216,GEN PHYSICS + LAB,"General physics course sequence for students in curricula other than physical sciences, mathematics, or engineering, who have not studied calculus. Applications of reasoning in the natural sciences using physical laws in a real-world context and in the students own discipline. Overview of intercultural and universal aspects of physics, and of human benefits of physics to address global challenges. 2205: mechanics, wave phenomena, fluids. 2206: optics, thermodynamics, electromagnetism, relativity, topics in nuclear and modern physics. | Laboratory experiments dealing with basic laws and techniques of physics; designed to illustrate topics covered in PHYS 2205 -2206. Applications of reasoning in the natural sciences using physics experiments in a real-world and interdisciplinary context. Ethical responsibilities and issues in a laboratory setting. 2215: analysis of experimental errors, formatting for presenting graphical data, analyzing and describing and prioritizing experimental design features, communicating concepts orally and in writing, concepts of force, momentum, conservation of energy, wave and interference phenomena. 2216: analysis of experimental errors, communicating concepts orally and in writing, concepts of geometrical optics, optical instruments, heat and phase transitions, electricity and electrical energy storage, magnetic fields and magnetic induction, atomic spectra."
265,PHY 241 UNIVERSITY PHYSICS I,"Covers classical mechanics and thermodynamics. Includes kinematics, Newton's laws of motion, work, energy, momentum, rotational kinematics, dynamics and static equilibrium, elasticity, gravitation, fluids, simple harmonic motion, calorimetry, ideal gas law, and the laws of thermodynamics. Part I of II. This is a UCGS transfer course.",PHYS 2305,FOUNDATIONS OF PHYSICS,"Introductory sequence for students in physical sciences, mathematics, and engineering. Overview of intercultural contributions to physics and universal aspects of physics, and of human benefits of physics to address world-wide challenges. 2305: classical mechanics of translational and rotational motion, Newtonian gravitation, and thermal physics. 2306: oscillations, waves, electricity, magnetism, and optics."
266,PHY 242 UNIVERSITY PHYSICS II,"Covers waves, electromagnetism and optics. Includes mechanical waves and sound, electrostatics, Ohm's law and DC circuits, magnetic forces and magnetic fields, electromagnetic induction, AC circuits, ray optics, and wave optics. Part II of II. This is a UCGS transfer course.",PHYS 2306,FOUNDATIONS OF PHYSICS,"Introductory sequence for students in physical sciences, mathematics, and engineering. Overview of intercultural contributions to physics and universal aspects of physics, and of human benefits of physics to address world-wide challenges. 2305: classical mechanics of translational and rotational motion, Newtonian gravitation, and thermal physics. 2306: oscillations, waves, electricity, magnetism, and optics."
267,PHY 243 MODERN PHYSICS + MODERN PHYSICS LAB TAKEN WITH PHY 244 MODERN PHYSICS + MODERN PHYSICS LAB,"Covers principles of modern physics including in-depth coverage of relativity, quantum physics, solid state, and nuclear physics. | Introduces various methods and procedures used in modern physics experiments.  Covers the general experimentation and modeling techniques for topics such as an introduction to the theory of relativity, elementary quantum theory, and its applications to atomic and nuclear physics.",PHYS 3324,MODERN PHYSICS,"Photons and their interactions with matter, wave-particle duality, Heisenberg uncertainty principle, Schrodingers equation of motion, hydrogenic and multi-electron atoms, Pauli exclusion principle, molecules, solids, nuclei, elementary particles.  Includes lab work.  MATH 4544 can be substituted for co-requisite MATH 2214 or 2214H . Pre: 2306."
268,PLS 135 U.S. GOVERNMENT AND POLITICS,"Teaches the political structure, processes, institutions, and policymaking of the US national government. Focuses on the three branches of government, their interrelationships, and how they shape policy. Addresses federalism; civil liberties and civil rights; political socialization and participation; public opinion, the media; interest groups; political parties; elections; and policymaking. The assignments in the course require college-level reading fluency and coherent communication through written reports. This is a Passport and UCGS transfer course.",PSCI 1014,INTRODUCTION TO U.S. GOVT AND POLITICS,"Introduction to government and politics of the United States, the Constitution, and various institutional designs and structures.  Focus on political culture, interest groups, voting franchise, political parties, and elections.  Roles and responsibilities of Congress, bureaucracy, Presidency, and federal courts; Discussion of selected current policy issues and implications of diversity of elected representatives."
269,PLS 140 INTRODUCTION TO COMPARATIVE POLITICS,"Teach concepts and methods of comparative politics. Includes empirical analyses of domestic governmental, political, and societal institutions and norms of countries around the world. The assignments in the course require college-level reading fluency and coherent communication through written reports. This is a Passport and UCGS transfer course.",PSCI 1024,INTRODUCTION TO COMPARATIVE GOVT & POLITICS,"Government and politics of selected countries in the world: the necessity for government; the nature of politics and governmental systems; specific types of political systems; the effects and consequences of institutional designs; linkages of people and governments through political parties, interest groups, and social movements; current political issues."
