Unnamed: 0,CCC Course,CCC Description,UCSC Course Code,UCSC Course Title,UCSC Description
605,POLI 2 Comparative Politics,"Comparative analysis of different kinds of political systems, including their history, political institutions, society, culture, economy, processes and policies, the environmental conditions in which they operate, and their consequences. Faculty Requirements Course Family Not Applicable Course Justification This course is a major preparation requirement in the discipline of Political Science for at least one CSU or UC. This course meets a general education requirement for De Anza and Cal-GETC and is required for the AA-T degree in Political Science. This course provides an introduction to Comparative Politics. It examines the range of diverse political systems throughout the world. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",POLI 60,Comparative Politics,Introduces the study of politics through the analysis of national political systems within or across regions from the developing world to post-industrial nations. Typical topics include: authoritarian and democratic regimes; state institutions and capacity; parties and electoral systems; public policies; social movements; ethnic conflict; and globalization.
606,POLI 3 International Relations,"This course is a critical examination of the basic elements of contemporary international relations: scope, terminology, methodology, sovereignty, nationalism, national policies, globalization, power, international, and regional political systems. Students will discuss non-governmental organizations and issues such as human rights and the environment. Faculty Requirements Course Family Not Applicable Course Justification This course is a major preparation requirement in the discipline of Political Science for at least one CSU or UC. This course meets a general education requirement for De Anza and Cal-GETC, and is required for the AA-T degree in Political Science. This course provides an introduction to International Relations. It examines world politics at the individual, state, and system levels. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",POLI 70,Global Politics,"Can common global interest prevail against particular sovereign desires? Surveys selected contemporary issues in global politics such as wars of intervention, ethnic conflict, globalization, global environmental protection, and some of the different ways in which they are understood and explained."
607,"INTL 22 History of Art: Arts of Africa, Oceania and Native North America","This course is a general introduction to some of the many indigenous art traditions around the world, with emphasis placed upon traditional arts created for use in small-scale communities from the Americas, South Pacific region, and Africa. Diverse art forms covered will include sculpture, painting, performance, ceramics, textiles, and architecture from antiquity through the colonial period to the present. Topics addressing the religious, cultural, social, economic, and political contexts of the art, as well as the impact of colonialism and representations of indigenous arts in museums, will be explored. The course facilitates the comparison of arts from indigenous peoples to other world art traditions and assesses the contributions of indigenous arts in a global context. Faculty Requirements Course Family Not Applicable Course Justification This course is a major preparation requirement in the disciplines of Art History and Art Studio for at least one CSU or UC. This course meets a general education requirement for De Anza and Cal-GETC. It belongs on the Art History AA degree. This course provides a global perspective on the history of art, covering parts of the world such as Africa and Oceania. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",HAVC 80,"Colonial Histories and Legacies: Africa, Oceania, and the Indigenous Americas","The arts and visual cultures of selected cultures that developed outside the spheres of influence of major European and Asian civilizations, with an emphasis on the history and influence of colonialism in creating current ethnic and racial categories."
608,"ARTS 2J History of Art: Arts of Africa, Oceania and Native North America","This course is a general introduction to some of the many indigenous art traditions around the world, with emphasis placed upon traditional arts created for use in small-scale communities from the Americas, South Pacific region and Africa. Diverse art forms covered will include sculpture, painting, performance, ceramics, textiles and architecture from antiquity through the colonial period to the present. Topics addressing the religious, cultural, social, economic, and political contexts of the art, as well as the impact of colonialism and representations of indigenous arts in museums, will be explored. The course facilitates comparison of arts from indigenous peoples to other world art traditions and assess the contributions of indigenous arts in a global context. Faculty Requirements Course Family Not Applicable Course Justification This course is a major preparation requirement in the disciplines of Art History and Art Studio for at least one CSU or UC. This course meets a general education requirement for De Anza and Cal-GETC. It belongs on the Art History AA degree. This course provides a global perspective on the history of art, covering parts of the world such as Africa and Oceania. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",HAVC 80,"Colonial Histories and Legacies: Africa, Oceania, and the Indigenous Americas","The arts and visual cultures of selected cultures that developed outside the spheres of influence of major European and Asian civilizations, with an emphasis on the history and influence of colonialism in creating current ethnic and racial categories."
609,"CETH 10 Race, Ethnicity, and Inequality","This ethnic studies course is an interdisciplinary examination of major concepts and controversies in the study of race, racial inequality, and racism in the United States. Students will explore race and ethnicity as historical and contemporary categories of identification, focusing on the lived experiences and racialized subordination of African Americans, Asian Americans, Latinx Americans, and Native Americans. Students will analyze intersecting processes of subordination, paying attention to race, class, gender, religion, national origin, citizenship, and language. Students will examine resistance, community organizing, social movements, and policy debates to assess and engage in efforts for racial equity, social justice, and self-determination. Faculty Requirements Course Family Not Applicable Course Justification This course meets the general education requirements for De Anza and Cal-GETC. It is UC and CSU transferable. It also serves as a required course for the A.A. degree in Intercultural Studies. It is an introductory course to the field of ethnic studies and provides a comparative and systemic approach to analyzing racism and racial inequality in the United States. Foothill Equivalency Does the course have a Foothill equivalent? Yes Foothill Course ID SOC F023. Course Philosophy Formerly Statement Formerly Statement (Formerly ICS D004.) Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",CRES 10,Critical Race and Ethnic Studies: An Introduction,"Examines the concept of race, followed by an investigation of colorblindness, multiculturalism, and post-racialism. Race and ethnicity are examined as historically formulated in relationship to the concepts of gender, sexuality, class, nationalism, indigeneity, citizenship, immigration, and inequality."
610,HIST 7A Colonial Latin American History,"This course examines Colonial Latin America and its role in the Atlantic world (to 1825) including the independence movements. Themes in the course cover social, intellectual, and cultural developments, the impact of poverty, race and gender relations, and popular culture. Faculty Requirements Course Family Not Applicable Course Justification This course meets a general education requirement for De Anza and Cal-GETC and is UC/CSU transferable. It belongs on the Intercultural Studies A.A. degree. It was developed to provide students with an overview of the Iberian European conquest and colonization of indigenous civilizations and the creation of the hybrid culture of the Americas. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",HIS 11A,Latin America: Colonial Period,"Introduces the social, cultural, economic, and political history of the New World through a close examination of the process of European conquest in the 16th century and its consequences for both native and settler peoples. Medieval and Renaissance European and African backgrounds; Inca, Maya, Aztec, plains, woodland, and tropical rainforest native American societies; processes of military and cultural conquest; epidemics and ecological changes; native resistance and the establishment of the fundamental institutions of colonial society."
611,HIST 7B Modern Latin American History,"This course examines Latin American history from post-colonialism to the present (1810 to the present) and focuses on understanding the region as a diverse geographic, political, and social reality. Special attention will be given to the contributions of various peoples and cultures, human communities in arts and literature. Faculty Requirements Course Family Not Applicable Course Justification This course meets a general education requirement for De Anza and Cal-GETC and is UC/CSU transferable. It belongs on the Intercultural Studies A.A. degree. It was developed to provide students with an overview of the impact of conquest and colonization of indigenous civilizations and indigenous contributions to arts and literature. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",HIS 11B,Latin America: National Period,"An introduction to the study of Latin American history from the Independence Wars in the early 19th century to the present. Topics include changing economic models of development, U.S. role, rural and urban life, women, nationalisms, populism, revolution, the military in politics, and the problem of democracy."
612,HIST 17A History of the United States to Early National Era,"This course examines U.S. civilization to the Early National Era. Students will survey the social, cultural, political, economic, and intellectual development of the Colonial Era with an emphasis on the era of the American Revolution, the development of the Constitution, and the role of the major ethnic, social, and gender groups in the American experience. Faculty Requirements Course Family Not Applicable Course Justification This course is a major preparation requirement in the discipline of History at the CSU and UC level for the B.A. degree, is part of a chronological sequence, and meets the needs for history majors and G.E. in providing significant knowledge of American history from the colonial period to the early national era. This course also contributes to the fulfillment of major requirements for the Associate of Arts Degree for Transfer in History. In addition, this course meets a general education requirement for De Anza and Cal-GETC and is UC and CSU transferable. Foothill Equivalency Does the course have a Foothill equivalent? Yes Foothill Course ID HIST F017A Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",HIS 10A,United States History to 1877,"Focuses on the building of British American colonies and the establishment, disintegration, and reconstruction of the nation with an emphasis on how class, race, ethnicity, and gender impacted colonial development and structured the nation's agenda and the definition of citizenship."
613,HIST 17AH History of the United States to Early National Era - HONORS,"This course examines U.S. civilization to the Early National Era. Students will survey the social, cultural, political, economic, and intellectual development of the Colonial Era with an emphasis on the era of the American Revolution, the development of the Constitution, and the role of the major ethnic, social, and gender groups in the American experience. Because this is an honors program course, students will be expected to complete extra assignments, or an additional longer assignment, to gain deeper insight into American history from the colonial period to the early national era. Faculty Requirements Course Family Not Applicable Course Justification This course is a major preparation requirement in the discipline of History at the CSU and UC level for the B.A. degree, is part of a chronological sequence, and meets the needs for history majors, G.E., and honors students in providing significant knowledge of American history from the colonial period to the early national era. This course also contributes to the fulfillment of major requirements for the Associate of Arts Degree for Transfer in History. In addition, this course meets a general education requirement for De Anza and Cal-GETC and is UC and CSU transferable. Foothill Equivalency Does the course have a Foothill equivalent? Yes Foothill Course ID HIST F017A Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",HIS 10A,United States History to 1877,"Focuses on the building of British American colonies and the establishment, disintegration, and reconstruction of the nation with an emphasis on how class, race, ethnicity, and gender impacted colonial development and structured the nation's agenda and the definition of citizenship."
614,CHLX 12 Chicanx and Latinx History,"This course examines the history of the Chicanx and Latinx people, surveying pre-Columbian origins, with an emphasis on the period since 1848 in the United States Southwest. Faculty Requirements Course Family Not Applicable Course Justification This course meets a general education requirement for De Anza and Cal-GETC and is CSU and UC transferable. It belongs on the Intercultural Studies AA degree. It was developed to provide students with an alternative historical perspective of Chicanx and Latinx experience in the U.S. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Formerly Statement (Formerly ICS D032.) Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",HIS 12,Introduction to Latino American History,"Introduces students to the history of U.S. Latinos drawing on the experience of Central Americans, people of Mexican descent, Puerto Ricans, Dominican Americans, and Cuban Americans. Emphasizes international processes that fundamentally shape U.S. Latino communities."
615,ECON 221 Principles of Microeconomics,"This course provides an introduction to fundamental microeconomic principles. Topics include a detailed study of the market mechanism, the elasticity properties of the demand and supply curves, how individuals make decisions about consumption and labor supply, how firms make decisions about how and how much to produce, and why some goods do not lend themselves to private production. The course also examines types of market structure and current economic issues.",ECON 1,Introductory Microeconomics: Resource Allocation and Market Structure,"For all interested students as well as prospective economics majors. Examines how markets allocate resources in different kinds of economies. Topics include competitive markets, monopoly, financial markets, income distribution, market failures, the environment, and the role of government."
616,"MATH 182 Calculus for Management, Life Science, and Social Science I","This is the first in a two-term calculus sequence for management, life science, and social science majors. Topics include the derivative and its applications (including curve sketching, optimization, and rates of change), an introduction to the integral (including Riemann sums and the Fundamental Theorem of Calculus) and its applications.",MATH 11A,Calculus with Applications,"A modern course stressing conceptual understanding, relevance, and problem solving. The derivative of polynomial, exponential, and trigonometric functions of a single variable is developed and applied to a wide range of problems involving graphing, approximation, and optimization. Students cannot receive credit for both this course and MATH 19A , or AM 11A , or AM 15A, or ECON 11A."
617,MATH 192 Analytic Geometry and Calculus I,"This course presents the elements of analytic geometry, differentiation and integration of algebraic and transcendental functions with applications. Use of a graphing calculator or a computer algebra system is required.",MATH 11A,Calculus with Applications,"A modern course stressing conceptual understanding, relevance, and problem solving. The derivative of polynomial, exponential, and trigonometric functions of a single variable is developed and applied to a wide range of problems involving graphing, approximation, and optimization. Students cannot receive credit for both this course and MATH 19A , or AM 11A , or AM 15A, or ECON 11A."
618,"MATH 182 Calculus for Management, Life Science, and Social Science I","This is the first in a two-term calculus sequence for management, life science, and social science majors. Topics include the derivative and its applications (including curve sketching, optimization, and rates of change), an introduction to the integral (including Riemann sums and the Fundamental Theorem of Calculus) and its applications.",AM 11A,Mathematical Methods for Economists I,"Introduction to mathematical tools and reasoning, with applications to economics. Topics are drawn from differential calculus in one variable and include limits, continuity, differentiation, elasticity, Taylor polynomials, and optimization. Students cannot receive credit for both this course and MATH 11A or MATH 19A or AM 15A or ECON 11A. ( AM 11A formerly AMS 11A.)"
619,MATH 192 Analytic Geometry and Calculus I,"This course presents the elements of analytic geometry, differentiation and integration of algebraic and transcendental functions with applications. Use of a graphing calculator or a computer algebra system is required.",MATH 19A,"Calculus for Science, Engineering, and Mathematics","The limit of a function, calculating limits, continuity, tangents, velocities, and other instantaneous rates of change. Derivatives, the chain rule, implicit differentiation, higher derivatives. Exponential functions, inverse functions, and their derivatives. The mean value theorem, monotonic functions, concavity, and points of inflection. Applied maximum and minimum problems. Students cannot receive credit for both this course and MATH 11A , or AM 11A , or AM 15A, or ECON 11A."
620,ECON 220 Principles of Macroeconomics,"This course provides an introduction to fundamental economic principles that recur throughout economics such as scarcity, opportunity cost, marginal decision making and the gains from trade. Macroeconomics focuses on broad economic aggregates such as total output, employment, the price level and the rate of economic growth. The course also examines fiscal and monetary policies and institutions, and applies macroeconomic theories to current economic issues.",ECON 2,Introductory Macroeconomics: Aggregate Economic Activity,"For all interested students and prospective economics majors. Examines how the overall level of national economic activity is determined, including output, employment, and inflation. Explores the roles of monetary and fiscal policies in stabilizing the economy and promoting growth, with a focus on contemporary policy debates."
621,"MATH 183 Calculus for Management, Life Science, and Social Science II","This is the second course in a two-term sequence in calculus for management, life science, and social science majors, and is a continuation of MATH-182. Topics include techniques of integration, applications of the integral, multi-variable functions, differential equations, and Taylor polynomials.",AM 11B,Mathematical Methods for Economists II,"Mathematical tools and reasoning, with applications to economics. Topics are drawn from multivariable differential calculus and single variable integral calculus, and include partial derivatives, linear and quadratic approximation, optimization with and without constraints, Lagrange multipliers, definite and indefinite integrals, and elementary differential equations. Students cannot receive credit for both this course and MATH 11B or MATH 19B or ECON 11B ( AM 11B formerly AMS 11B.)"
622,"BIOSC 131 Principles of Organismal Biology, Evolution, and Ecology","This course covers evolution, ecology, and unification and diversity of life with a focus on the whole organism and higher levels of organization. Topics include evidence and mechanisms of evolution and speciation; evolutionary history and diversity of life; structure, function and evolutionary adaptations of organisms (including plants, fungi, animals, and unicellar organisms); general, population, and community ecology; ecosystems and environmental concerns. In laboratory, students explore these themes with hands-on observations, dissections, laboratory activities, and field exercises.",BIOE 20C,Ecology and Evolution,"Introduction to ecology and evolution covering principles of evolution at the molecular, organismal, and population levels. Evolutionary topics include genetic and phenotypic variation, natural selection, adaptation, speciation, and macroevolution. Also covers behavioral, population, and community ecology including applied ecological issues."
623,BIOSC 130 Principles of Cellular and Molecular Biology,"This course covers universal biological processes of all organismal life with an emphasis on the cellular level of organization and is intended for biology majors or other students with an in-depth interest in the biological sciences. Topics include principles of biomolecules, prokaryotic and eukaryotic cellular morphology and ultrastructure, biochemical pathways (photosynthesis and cellular respiration), enzymes, cellular communication and reproduction, classical and molecular genetics, gene control, embryology, immunology, and selected topics of animal physiology emphasizing homeostatic control mechanisms. The laboratory component focuses on methodologies necessary for the study of molecular, cellular and genetic topics such as microscopy, spectrophotometry, graphing, statistical analysis, and recombinant DNA technologies.",BIOE 20C,Ecology and Evolution,"Introduction to ecology and evolution covering principles of evolution at the molecular, organismal, and population levels. Evolutionary topics include genetic and phenotypic variation, natural selection, adaptation, speciation, and macroevolution. Also covers behavioral, population, and community ecology including applied ecological issues."
624,SOCIO 121 Introduction to Social Problems,"This course is a survey of perspectives on major social problems, primarily in the urban, industrial settings. Sources, consequences of, and means of coping with a variety of social problems will be investigated. The scientific methodology required for accurate analysis is emphasized. Topics will be selected from social problems such as aging, health care, mental illness, environmental issues, labor force conditions, gender and sexuality, poverty, crime, juvenile delinquency, suicide, addiction, abuse, migration and relations with minority groups, or membership in deviant subcultures.",SOCY 10,Issues and Problems in American Society,"Exploration of nature, structure, and functionings of American society. Explores the following: social institutions and economic structure; the successes, failures, and intractabilities of institutions; general and distinctive features of American society; specific problems such as race, sex, and other inequalities; urban-rural differences. Fulfills lower-division major"
625,ANTHR 130 Cultural Anthropology,"This course explores how anthropologists study and compare human culture to understand the broad arc of human experience focusing on a set of central issues. Topics include how people around the world: make their living; organize themselves socially, politically and economically; communicate; relate to each other through family and kinship ties; develop belief systems; apply gender, racial and ethnic identity labels; have shaped and been shaped by social inequalities such as colonialism; and navigate cultural change and processes of globalization that affect us all. Ethnographic case studies will be utilized to highlight similarities and differences.",ANTH 2,Introduction to Cultural Anthropology,A number of different peoples are studied and a variety of approaches to the nature of the culture and to the study of specific cultures presented. Required for all anthropology majors.
626,PHILO 122 Introduction to Ethics,"This course is a systematic examination of major ethical theories, the nature of moral reasoning, as well as the evaluation of contemporary moral issues such as abortion, euthanasia, and capital punishment.",PHIL 22,Introduction to Ethical Theory,A consideration of ethical issues and theories focusing on the foundation of moral value and the principles governing character and behavior. Designed to extend and develop the student's abilities in philosophical reasoning about ethics.
627,SOCIO 120 Introduction to Sociology,"This course provides an introduction to the theory and scientific methodology of sociology; a survey of the interactions, interrelationships, and processes of society as an organized structure. Sociology's substantive areas including methodology, socialization, culture, social stratification, race and ethnic minorities, gender and sexual orientation will be discussed. Institutional analysis of the economy, family, religion, and education are also introduced.",SOCY 1,Introduction to Sociology,"A systematic study of social groups ranging in size from small to social institutions to entire societies. Organized around the themes of social interaction, social inequality, and social change. Fulfills lower-division major"
628,PHYS 120 General College Physics I,"This course is the first semester of a two-semester sequence (PHYS-120 and PHYS-121) designed for majors other than engineering and physical sciences such as life science and allied health majors among others. It includes an algebra-based lecture and laboratory study of mechanics, heat, and sound.",PHYS 6B,Introductory Physics II,"A continuation of PHYS 6A . Geometric optics; statics and dynamics of fluids; introduction to thermodynamics, including temperature, heat, thermal conductivity, and molecular motion; wave motion in matter, including sound waves."
629,PHYS 125 Calculus Supplement for Physics 121,"In this course, students will apply calculus techniques to the physics topics learned in PHYS-121 General College Physics II.",PHYS 6B,Introductory Physics II,"A continuation of PHYS 6A . Geometric optics; statics and dynamics of fluids; introduction to thermodynamics, including temperature, heat, thermal conductivity, and molecular motion; wave motion in matter, including sound waves."
630,PHYS 124 Calculus Supplement for Physics 120,"In this course, students will apply calculus techniques to the physics topics learned in PHYS-120 General College Physics I.",PHYS 6B,Introductory Physics II,"A continuation of PHYS 6A . Geometric optics; statics and dynamics of fluids; introduction to thermodynamics, including temperature, heat, thermal conductivity, and molecular motion; wave motion in matter, including sound waves."
631,PHYS 121 General College Physics II,"This course is the second semester of a two-semester sequence (PHYS-120 and PHYS-121) designed for majors other than engineering and physical sciences such as life science and allied health majors among others. It includes an algebra-based lecture and laboratory study of electricity, magnetism, light, and modern physics.",PHYS 6B,Introductory Physics II,"A continuation of PHYS 6A . Geometric optics; statics and dynamics of fluids; introduction to thermodynamics, including temperature, heat, thermal conductivity, and molecular motion; wave motion in matter, including sound waves."
632,PHYS 130 Physics for Engineers and Scientists A: Mechanics and Wave Motion,"This course is designed for engineering and physical science majors such as physics, chemistry, and geology. Lecture and laboratory study of classical mechanics: vectors, particle kinematics, Newton's laws, equilibrium of rigid bodies, work and energy, gravitation, fluids, momentum, rotational kinematics and dynamics, and oscillations and waves in elastic media are presented.",PHYS 6B,Introductory Physics II,"A continuation of PHYS 6A . Geometric optics; statics and dynamics of fluids; introduction to thermodynamics, including temperature, heat, thermal conductivity, and molecular motion; wave motion in matter, including sound waves."
633,PHYS 230 Physics for Engineers and Scientists B: Heat and Electro-Magnetism,"This course is a continuation of PHYS-130 and presents the study of thermodynamics, electricity, and magnetism. Topics include temperature, heat, the first and second laws of thermodynamics, kinetic theory of gases, electric field and electric potential of charges, capacitance, magnetic field of moving charges, current, voltage, resistance, induced electric and magnetic fields, Maxwell's equations, and plane electromagnetic waves.",PHYS 6B,Introductory Physics II,"A continuation of PHYS 6A . Geometric optics; statics and dynamics of fluids; introduction to thermodynamics, including temperature, heat, thermal conductivity, and molecular motion; wave motion in matter, including sound waves."
634,PHYS 230 Physics for Engineers and Scientists B: Heat and Electro-Magnetism,"This course is a continuation of PHYS-130 and presents the study of thermodynamics, electricity, and magnetism. Topics include temperature, heat, the first and second laws of thermodynamics, kinetic theory of gases, electric field and electric potential of charges, capacitance, magnetic field of moving charges, current, voltage, resistance, induced electric and magnetic fields, Maxwell's equations, and plane electromagnetic waves.",PHYS 6C,Introductory Physics III,Introduction to electricity and magnetism. Elementary circuits; Maxwell's equations; electromagnetic radiation; interference and polarization of light.
635,PHYS 125 Calculus Supplement for Physics 121,"In this course, students will apply calculus techniques to the physics topics learned in PHYS-121 General College Physics II.",PHYS 6C,Introductory Physics III,Introduction to electricity and magnetism. Elementary circuits; Maxwell's equations; electromagnetic radiation; interference and polarization of light.
636,PHYS 121 General College Physics II,"This course is the second semester of a two-semester sequence (PHYS-120 and PHYS-121) designed for majors other than engineering and physical sciences such as life science and allied health majors among others. It includes an algebra-based lecture and laboratory study of electricity, magnetism, light, and modern physics.",PHYS 6C,Introductory Physics III,Introduction to electricity and magnetism. Elementary circuits; Maxwell's equations; electromagnetic radiation; interference and polarization of light.
637,CHEM 227 Organic Chemistry II,"This course is a continuation of CHEM-226. Topics include spectroscopy, additional reaction mechanisms, the nomenclature, physical properties, and reactions of other basic classes of compounds (aromatics, organometallics, aldehydes, ketones, carboxylic acids and their derivatives, and amines).  The nature and reactions of multifunctional compounds and the structure and reactions of biochemical molecules (carbohydrates, lipids, amino acids, proteins and nucleic acids) are also discussed. Laboratory work includes hands-on spectroscopic techniques (i.e. NMR, IR), qualitative organic analysis, more advanced projects involving synthesis, and a literature research project using university-level chemical literature resources.",CHEM 8M,Organic Chemistry Laboratory,"Laboratory experience in organic chemistry associated with course 8B. Designed to introduce the student to the many techniques associated with organic chemistry while affording an opportunity to explore the concepts discussed in the lecture material. Laboratory: 4 hours, lecture: 1-1/4 hours."
638,PH 132 Global Health,"This course introduces the broad band and growing field of global health, global health challenges, programs and policies. Students will discuss how health and illness are defined and explore the biological, cultural, social, and political factors that influence health at a global level. Topics include comparative health systems; emerging global health priorities, such as infectious conditions, poverty, conflicts and emergencies; social determinants of health; health systems reform; and major global health initiatives for disease prevention and health promotion. An emphasis is placed on global health ethics, health inequities, and issues of social justice.",GCH 1,Foundations for Global and Community Health,"Interdisciplinary introduction to global and community health. It provides students with the foundational knowledge, vocabulary, and analytical tools to enter global health. It emphasizes the wide-ranging community meanings and contextual conditions shaping health from local to global scales. Co-taught by faculty from the natural sciences and social sciences, the course also introduces students to global and community health, highlighting opportunities for learning that involve collaboration and conversation between natural scientists and social scientists. (Formerly offered as POLI/ANTH/BIOL 89)."
639,SPAN 121 Second Term Spanish,"This is the second course in a sequence of Spanish language courses. It addresses the understanding, speaking, reading and writing of the Spanish language. The course continues to expand vocabulary, communicative functions and structures. The course will continue the examination of the culture of the Spanish-speaking world.",SPAN 2,First-Year Spanish,"The first-year program is aimed at developing proficiency in Spanish. Listening, speaking, reading, and writing are addressed through classroom practice and supplemented by language laboratory work. Classes are taught entirely in Spanish and are held three days a week."
640,SPAN 120 First Term Spanish,"This course provides an introduction to the Spanish language and the culture of Spanish-speaking countries. Topics include the four language skills: speaking, listening, reading, and writing. Emphasis is placed on active use of the language in class as well as basic communicative functions and structures.",SPAN 2,First-Year Spanish,"The first-year program is aimed at developing proficiency in Spanish. Listening, speaking, reading, and writing are addressed through classroom practice and supplemented by language laboratory work. Classes are taught entirely in Spanish and are held three days a week."
641,CHEM 226 Organic Chemistry I,"This course is the first semester of a two-semester sequence (CHEM-226 and CHEM-227) that covers structure and bonding, stereochemistry, conformational analysis, reaction mechanisms, and the nomenclature, physical properties, and reactions of various classes of organic compounds (alkanes, alkenes, alkynes, alkyl halides, alcohols, and ethers). Basic organic laboratory techniques are introduced and used in syntheses or other projects. Chemical safety, information retrieval and good lab practices are emphasized. A variety of laboratory instrumentation skills are developed including data collection and analysis using GC, IR and UV-Visible spectroscopy.",CHEM 8L,Organic Chemistry Laboratory,"Laboratory experience in organic chemistry associated with CHEM 8A . Designed to introduce the student to the many techniques associated with organic chemistry while affording an opportunity to explore the concepts discussed in the lecture material. Laboratory: 4 hours, lecture: 1-1/4 hours."
642,CHEM 227 Organic Chemistry II,"This course is a continuation of CHEM-226. Topics include spectroscopy, additional reaction mechanisms, the nomenclature, physical properties, and reactions of other basic classes of compounds (aromatics, organometallics, aldehydes, ketones, carboxylic acids and their derivatives, and amines).  The nature and reactions of multifunctional compounds and the structure and reactions of biochemical molecules (carbohydrates, lipids, amino acids, proteins and nucleic acids) are also discussed. Laboratory work includes hands-on spectroscopic techniques (i.e. NMR, IR), qualitative organic analysis, more advanced projects involving synthesis, and a literature research project using university-level chemical literature resources.",CHEM 8B,Organic Chemistry,"Introduction to organic chemistry, with an emphasis on reactivity and synthesis of organic compounds."
643,MATH 193 Analytic Geometry and Calculus II,"This course is a continuation of MATH-192. Techniques and applications of integration in geometry, science and engineering will be explored. Work with algebraic and transcendental functions will be continued. Other topics will include numerical methods in evaluation of the integral, infinite series, solving differential equations, applications of differential equations, polar coordinates, parametric equations, and conic sections.",MATH 11B,Calculus with Applications,"Starting with the fundamental theorem of calculus and related techniques, the integral of functions of a single variable is developed and applied to problems in geometry, probability, physics, and differential equations. Polynomial approximations, Taylor series, and their applications conclude the course. Students cannot receive credit for this course and MATH 19B , or AM 11B , or AM 15B, or ECON 11B."
644,"MATH 183 Calculus for Management, Life Science, and Social Science II","This is the second course in a two-term sequence in calculus for management, life science, and social science majors, and is a continuation of MATH-182. Topics include techniques of integration, applications of the integral, multi-variable functions, differential equations, and Taylor polynomials.",MATH 11B,Calculus with Applications,"Starting with the fundamental theorem of calculus and related techniques, the integral of functions of a single variable is developed and applied to problems in geometry, probability, physics, and differential equations. Polynomial approximations, Taylor series, and their applications conclude the course. Students cannot receive credit for this course and MATH 19B , or AM 11B , or AM 15B, or ECON 11B."
645,BIOSC 130 Principles of Cellular and Molecular Biology,"This course covers universal biological processes of all organismal life with an emphasis on the cellular level of organization and is intended for biology majors or other students with an in-depth interest in the biological sciences. Topics include principles of biomolecules, prokaryotic and eukaryotic cellular morphology and ultrastructure, biochemical pathways (photosynthesis and cellular respiration), enzymes, cellular communication and reproduction, classical and molecular genetics, gene control, embryology, immunology, and selected topics of animal physiology emphasizing homeostatic control mechanisms. The laboratory component focuses on methodologies necessary for the study of molecular, cellular and genetic topics such as microscopy, spectrophotometry, graphing, statistical analysis, and recombinant DNA technologies.",BIOL 20A,Cell and Molecular Biology,"Introduction to biochemistry, cell biology, molecular biology, and genetics."
646,MATH 193 Analytic Geometry and Calculus II,"This course is a continuation of MATH-192. Techniques and applications of integration in geometry, science and engineering will be explored. Work with algebraic and transcendental functions will be continued. Other topics will include numerical methods in evaluation of the integral, infinite series, solving differential equations, applications of differential equations, polar coordinates, parametric equations, and conic sections.",MATH 19B,"Calculus for Science, Engineering, and Mathematics","The definite integral and the fundamental theorem of calculus. Areas, volumes. Integration by parts, trigonometric substitution, and partial fractions methods. Improper integrals. Sequences, series, absolute convergence and convergence tests. Power series, Taylor and Maclaurin series. Students cannot receive credit for both this course and MATH 11B , or AM 11B , or AM 15B, or ECON 11B."
